volume,ticks,status,open,low,high,cost,close,timestamp,instrument
0.0,1745769600000,ok,0.0465,0.0465,0.0465,0.0,0.0465,2025-04-27 16:00:00,BTC-27MAR26-65000-P
0.0,1745773200000,ok,0.0465,0.0465,0.0465,0.0,0.0465,2025-04-27 17:00:00,BTC-27MAR26-65000-P
0.0,1745776800000,ok,0.0465,0.0465,0.0465,0.0,0.0465,2025-04-27 18:00:00,BTC-27MAR26-65000-P
0.0,1745780400000,ok,0.0465,0.0465,0.0465,0.0,0.0465,2025-04-27 19:00:00,BTC-27MAR26-65000-P
0.0,1745784000000,ok,0.0465,0.0465,0.0465,0.0,0.0465,2025-04-27 20:00:00,BTC-27MAR26-65000-P
5.0,1745787600000,ok,0.046,0.046,0.046,0.23,0.046,2025-04-27 21:00:00,BTC-27MAR26-65000-P
0.0,1745791200000,ok,0.046,0.046,0.046,0.0,0.046,2025-04-27 22:00:00,BTC-27MAR26-65000-P
0.0,1745794800000,ok,0.046,0.046,0.046,0.0,0.046,2025-04-27 23:00:00,BTC-27MAR26-65000-P
0.0,1745798400000,ok,0.046,0.046,0.046,0.0,0.046,2025-04-28 00:00:00,BTC-27MAR26-65000-P
0.0,1745802000000,ok,0.046,0.046,0.046,0.0,0.046,2025-04-28 01:00:00,BTC-27MAR26-65000-P
0.0,1745805600000,ok,0.046,0.046,0.046,0.0,0.046,2025-04-28 02:00:00,BTC-27MAR26-65000-P
0.0,1745809200000,ok,0.046,0.046,0.046,0.0,0.046,2025-04-28 03:00:00,BTC-27MAR26-65000-P
0.0,1745812800000,ok,0.046,0.046,0.046,0.0,0.046,2025-04-28 04:00:00,BTC-27MAR26-65000-P
0.0,1745816400000,ok,0.046,0.046,0.046,0.0,0.046,2025-04-28 05:00:00,BTC-27MAR26-65000-P
0.0,1745820000000,ok,0.046,0.046,0.046,0.0,0.046,2025-04-28 06:00:00,BTC-27MAR26-65000-P
0.0,1745823600000,ok,0.046,0.046,0.046,0.0,0.046,2025-04-28 07:00:00,BTC-27MAR26-65000-P
0.0,1745827200000,ok,0.046,0.046,0.046,0.0,0.046,2025-04-28 08:00:00,BTC-27MAR26-65000-P
0.0,1745830800000,ok,0.046,0.046,0.046,0.0,0.046,2025-04-28 09:00:00,BTC-27MAR26-65000-P
0.0,1745834400000,ok,0.046,0.046,0.046,0.0,0.046,2025-04-28 10:00:00,BTC-27MAR26-65000-P
0.0,1745838000000,ok,0.046,0.046,0.046,0.0,0.046,2025-04-28 11:00:00,BTC-27MAR26-65000-P
0.0,1745841600000,ok,0.046,0.046,0.046,0.0,0.046,2025-04-28 12:00:00,BTC-27MAR26-65000-P
0.0,1745845200000,ok,0.046,0.046,0.046,0.0,0.046,2025-04-28 13:00:00,BTC-27MAR26-65000-P
0.0,1745848800000,ok,0.046,0.046,0.046,0.0,0.046,2025-04-28 14:00:00,BTC-27MAR26-65000-P
0.0,1745852400000,ok,0.046,0.046,0.046,0.0,0.046,2025-04-28 15:00:00,BTC-27MAR26-65000-P
0.0,1745856000000,ok,0.046,0.046,0.046,0.0,0.046,2025-04-28 16:00:00,BTC-27MAR26-65000-P
0.0,1745859600000,ok,0.046,0.046,0.046,0.0,0.046,2025-04-28 17:00:00,BTC-27MAR26-65000-P
0.0,1745863200000,ok,0.046,0.046,0.046,0.0,0.046,2025-04-28 18:00:00,BTC-27MAR26-65000-P
0.0,1745866800000,ok,0.046,0.046,0.046,0.0,0.046,2025-04-28 19:00:00,BTC-27MAR26-65000-P
0.0,1745870400000,ok,0.046,0.046,0.046,0.0,0.046,2025-04-28 20:00:00,BTC-27MAR26-65000-P
0.0,1745874000000,ok,0.046,0.046,0.046,0.0,0.046,2025-04-28 21:00:00,BTC-27MAR26-65000-P
0.0,1745877600000,ok,0.046,0.046,0.046,0.0,0.046,2025-04-28 22:00:00,BTC-27MAR26-65000-P
0.0,1745881200000,ok,0.046,0.046,0.046,0.0,0.046,2025-04-28 23:00:00,BTC-27MAR26-65000-P
0.0,1745884800000,ok,0.046,0.046,0.046,0.0,0.046,2025-04-29 00:00:00,BTC-27MAR26-65000-P
0.0,1745888400000,ok,0.046,0.046,0.046,0.0,0.046,2025-04-29 01:00:00,BTC-27MAR26-65000-P
0.0,1745892000000,ok,0.046,0.046,0.046,0.0,0.046,2025-04-29 02:00:00,BTC-27MAR26-65000-P
0.0,1745895600000,ok,0.046,0.046,0.046,0.0,0.046,2025-04-29 03:00:00,BTC-27MAR26-65000-P
0.0,1745899200000,ok,0.046,0.046,0.046,0.0,0.046,2025-04-29 04:00:00,BTC-27MAR26-65000-P
0.0,1745902800000,ok,0.046,0.046,0.046,0.0,0.046,2025-04-29 05:00:00,BTC-27MAR26-65000-P
0.0,1745906400000,ok,0.046,0.046,0.046,0.0,0.046,2025-04-29 06:00:00,BTC-27MAR26-65000-P
0.0,1745910000000,ok,0.046,0.046,0.046,0.0,0.046,2025-04-29 07:00:00,BTC-27MAR26-65000-P
0.0,1745913600000,ok,0.046,0.046,0.046,0.0,0.046,2025-04-29 08:00:00,BTC-27MAR26-65000-P
0.0,1745917200000,ok,0.046,0.046,0.046,0.0,0.046,2025-04-29 09:00:00,BTC-27MAR26-65000-P
